State,Abbreviation,rate_per_100k
New York,NY,3.3
New Hampshire,NH,0.4
Rhode Island,RI,0.8
New Jersey,NJ,1.2
Massachusetts,MA,1.0
Connecticut,CT,1.2
California,CA,0.4
Colorado,CO,3.3
Maryland,MD,1.3
Michigan,MI,34.0
Ohio,OH,14.0
Maine,ME,0.1
Virginia,VA,1.0
North Carolina,NC,0.48
South Carolina,SC,0.4
Georgia,GA,0.9
Florida,FL,0.8
Alabama,AL,0.5
Texas,TX,0.1
Oklahoma,OK,2.9
Louisiana,LA,1.3
Kansas,KS,8.6
Arkansas,AR,0.8
Tennessee,TN,1.0
Iowa,IA,0.1
Illinois,IL,0.7
Indiana,IN,0.5
Kentucky,KY,3.8
West Virginia,WV,1.2
Wisconsin,WI,1.6
North Dakota,ND,0.7
Nebraska,NE,3.4
Utah,UT,0.7
New Mexico,NM,0.2
Oregon,OR,0.5
Nevada,NV,0.2
Arizona,AZ,0.3
